Last Updated,Town,Rep District,Sen District,MARK COESTER,GERALD MALLOY,Total Write Ins,Total
08/12/2026 05:17:20 PM,BOLTON,WASHINGTON CHITTENDEN,CHITTENDEN-SOUTHEAST_,4,12,1,19
08/12/2026 05:17:20 PM,BRADFORD,ORANGE-2,ORANGE_,16,86,2,111
08/12/2026 05:17:20 PM,BRAINTREE,ORANGE WASHINGTON ADDISON,WASHINGTON_,16,27,1,46
08/12/2026 05:17:20 PM,BRANDON,RUTLAND-9,RUTLAND_,25,108,1,150
08/12/2026 05:17:20 PM,BRATTLEBORO,"WINDHAM-7, WINDHAM-8, WINDHAM-9",WINDHAM_,57,87,2,157
08/12/2026 05:17:20 PM,BRIDGEWATER,WINDSOR-4,WINDSOR_,4,26,0,33
08/12/2026 05:17:20 PM,BRIDPORT,ADDISON-5,ADDISON_,13,100,0,124
08/12/2026 05:17:20 PM,BRIGHTON,ESSEX ORLEANS,ESSEX_,13,46,0,64
08/12/2026 05:17:20 PM,BRISTOL,ADDISON-4,ADDISON_,27,131,3,177
08/12/2026 05:17:20 PM,BROOKFIELD,ORANGE WASHINGTON ADDISON,ORANGE_,17,42,0,72
08/12/2026 05:17:20 PM,BROOKLINE,WINDHAM-3,WINDHAM_,9,10,1,23
08/12/2026 05:17:20 PM,BROWNINGTON,ORLEANS-3,ORLEANS_,4,14,2,25
08/12/2026 05:17:20 PM,BRUNSWICK,ESSEX CALEDONIA,ESSEX_,1,1,0,5
08/12/2026 05:17:20 PM,BURKE,ESSEX CALEDONIA,ORLEANS_,22,69,3,105
08/12/2026 05:17:20 PM,BURLINGTON,"CHITTENDEN-13, CHITTENDEN-14, CHITTENDEN-15, CHITTENDEN-16, CHITTENDEN-17, CHITTENDEN-18","CHITTENDEN-SOUTHEAST_, CHITTENDEN-CENTRAL_",47,162,6,245
08/12/2026 05:17:20 PM,CABOT,CALEDONIA WASHINGTON,WASHINGTON_,16,45,1,68
08/12/2026 05:17:20 PM,CALAIS,WASHINGTON-6,WASHINGTON_,20,75,0,119
08/12/2026 05:17:20 PM,CAMBRIDGE,LAMOILLE-3,LAMOILLE_,14,77,0,103
08/12/2026 05:17:20 PM,CANAAN,ESSEX ORLEANS,ESSEX_,12,27,0,46
08/12/2026 05:17:20 PM,CASTLETON,RUTLAND-3,RUTLAND_,56,119,1,188
08/12/2026 05:17:20 PM,CAVENDISH,WINDSOR-2,WINDSOR_,9,73,2,88
08/12/2026 05:17:20 PM,CHARLESTON,ESSEX ORLEANS,ORLEANS_,10,26,0,39
08/12/2026 05:17:20 PM,CHARLOTTE,CHITTENDEN-5,CHITTENDEN-SOUTHEAST_,9,60,1,78
08/12/2026 05:17:20 PM,CHELSEA,ORANGE-3,ORANGE_,7,30,1,42
08/12/2026 05:17:20 PM,CHESTER,WINDSOR WINDHAM,WINDSOR_,22,120,0,150
08/12/2026 05:17:20 PM,CHITTENDEN,RUTLAND-11,RUTLAND_,11,57,0,72
08/12/2026 05:17:20 PM,CLARENDON,RUTLAND-2,RUTLAND_,23,107,1,144
08/12/2026 05:17:20 PM,COLCHESTER,"CHITTENDEN-19, CHITTENDEN-20","GRAND ISLE_, CHITTENDEN-CENTRAL_",75,301,6,437
08/12/2026 05:17:20 PM,CONCORD,CALEDONIA ESSEX,ESSEX_,13,48,4,71
08/12/2026 05:17:20 PM,CORINTH,ORANGE-1,ORANGE_,30,73,0,113
08/12/2026 05:17:20 PM,CORNWALL,ADDISON-2,ADDISON_,8,47,0,67
08/12/2026 05:17:20 PM,COVENTRY,ORLEANS LAMOILLE,ORLEANS_,6,30,0,43
08/12/2026 05:17:20 PM,CRAFTSBURY,ORLEANS-4,ORLEANS_,4,26,2,35
08/12/2026 05:17:20 PM,DANBY,BENNINGTON RUTLAND,RUTLAND_,23,53,0,87
08/12/2026 05:17:20 PM,DANVILLE,CALEDONIA WASHINGTON,CALEDONIA_,34,82,1,139
08/12/2026 05:17:20 PM,DERBY,ORLEANS-1,ESSEX_,39,141,12,212
08/12/2026 05:17:20 PM,DORSET,BENNINGTON RUTLAND,BENNINGTON_,26,46,0,85
08/12/2026 05:17:20 PM,DOVER,WINDHAM-2,WINDHAM_,10,18,0,33
08/12/2026 05:17:20 PM,DUMMERSTON,WINDHAM-4,WINDHAM_,15,33,0,51
08/12/2026 05:17:20 PM,DUXBURY,WASHINGTON-2,WASHINGTON_,11,43,1,61
08/12/2026 05:17:20 PM,EAST HAVEN,ESSEX CALEDONIA,ESSEX_,3,11,2,18
08/12/2026 05:17:20 PM,EAST MONTPELIER,WASHINGTON-5,WASHINGTON_,22,54,2,111
08/12/2026 05:17:20 PM,EDEN,ORLEANS LAMOILLE,LAMOILLE_,9,25,2,39
08/12/2026 05:17:20 PM,ELMORE,LAMOILLE WASHINGTON,LAMOILLE_,8,16,0,26
08/12/2026 05:17:20 PM,ENOSBURGH,FRANKLIN-7,FRANKLIN_,21,72,5,112
08/12/2026 05:17:20 PM,ESSEX JUNCTION CITY,"CHITTENDEN-22, CHITTENDEN-23",CHITTENDEN-CENTRAL_,30,155,1,205
08/12/2026 05:17:20 PM,ESSEX TOWN,"CHITTENDEN-23, CHITTENDEN-24","CHITTENDEN-CENTRAL_, CHITTENDEN-NORTH_",48,258,3,345
08/12/2026 05:17:20 PM,FAIR HAVEN,RUTLAND-10,RUTLAND_,14,104,0,134
08/12/2026 05:17:20 PM,FAIRFAX,FRANKLIN-1,CHITTENDEN-NORTH_,27,144,1,190
08/12/2026 05:17:20 PM,FAIRFIELD,FRANKLIN-6,FRANKLIN_,16,56,4,80
08/12/2026 05:17:20 PM,FAIRLEE,ORANGE-2,ORANGE_,5,28,1,39
08/12/2026 05:17:20 PM,FAYSTON,WASHINGTON-2,WASHINGTON_,10,18,0,33
08/12/2026 05:17:20 PM,FERRISBURGH,ADDISON-3,ADDISON_,30,101,1,150
08/12/2026 05:17:20 PM,FLETCHER,FRANKLIN-6,LAMOILLE_,13,33,0,53
08/12/2026 05:17:20 PM,FRANKLIN,FRANKLIN-5,FRANKLIN_,25,74,5,116
08/12/2026 05:17:20 PM,GEORGIA,"CHITTENDEN FRANKLIN, FRANKLIN-1",FRANKLIN_,23,156,3,195
08/12/2026 05:17:20 PM,GLOVER,ORLEANS-4,ORLEANS_,12,17,2,35
08/12/2026 05:17:20 PM,GOSHEN,ADDISON-2,ADDISON_,1,16,0,17
08/12/2026 05:17:20 PM,GRAFTON,WINDSOR WINDHAM,WINDHAM_,9,14,0,26
08/12/2026 05:17:20 PM,GRANBY,ESSEX CALEDONIA,ESSEX_,3,3,0,6
08/12/2026 05:17:20 PM,GRAND ISLE,GRAND ISLE CHITTENDEN,GRAND ISLE_,24,101,2,136
08/12/2026 05:17:20 PM,GRANVILLE,ORANGE WASHINGTON ADDISON,ADDISON_,4,3,1,13
08/12/2026 05:17:20 PM,GREENSBORO,ORLEANS-4,ORLEANS_,4,15,0,27
08/12/2026 05:17:20 PM,GROTON,ORANGE CALEDONIA,CALEDONIA_,10,46,2,60
08/12/2026 05:17:20 PM,GUILDHALL,ESSEX CALEDONIA,ESSEX_,13,15,0,35
08/12/2026 05:17:20 PM,GUILFORD,WINDHAM-1,WINDHAM_,13,36,1,53
08/12/2026 05:17:20 PM,HALIFAX,WINDHAM-6,WINDHAM_,7,49,0,57
08/12/2026 05:17:20 PM,HANCOCK,WINDSOR ADDISON,ADDISON_,3,8,0,13
08/12/2026 05:17:20 PM,HARDWICK,CALEDONIA 2,CALEDONIA_,24,56,0,88
08/12/2026 05:17:20 PM,HARTFORD,"WINDSOR-4, WINDSOR-6",WINDSOR_,38,141,3,202
08/12/2026 05:17:20 PM,HARTLAND,WINDSOR-1,WINDSOR_,15,77,0,104
08/12/2026 05:17:20 PM,HIGHGATE,FRANKLIN-5,FRANKLIN_,29,155,5,197
08/12/2026 05:17:20 PM,HINESBURG,"CHITTENDEN-4, CHITTENDEN-5",CHITTENDEN-SOUTHEAST_,18,67,2,94
08/12/2026 05:17:20 PM,HOLLAND,ESSEX ORLEANS,ESSEX_,12,25,2,45
08/12/2026 05:17:20 PM,HUBBARDTON,ADDISON RUTLAND,RUTLAND_,10,36,1,51
08/12/2026 05:17:20 PM,HUNTINGTON,WASHINGTON CHITTENDEN,ADDISON_,10,44,1,58
08/12/2026 05:17:20 PM,HYDE PARK,LAMOILLE-2,LAMOILLE_,35,65,1,109
08/12/2026 05:17:20 PM,IRA,RUTLAND-1,RUTLAND_,1,23,0,29
08/12/2026 05:17:20 PM,IRASBURG,ORLEANS LAMOILLE,ORLEANS_,7,41,3,57
08/12/2026 05:17:20 PM,ISLE LA MOTTE,GRAND ISLE CHITTENDEN,GRAND ISLE_,9,33,1,46
08/12/2026 05:17:20 PM,JAMAICA,WINDHAM-2,WINDHAM_,15,14,0,34
08/12/2026 05:17:20 PM,JAY,ORLEANS LAMOILLE,ORLEANS_,8,12,0,21
08/12/2026 05:17:20 PM,JERICHO,CHITTENDEN 3,CHITTENDEN-SOUTHEAST_,16,104,0,141
08/12/2026 05:17:20 PM,JOHNSON,LAMOILLE-2,LAMOILLE_,19,47,0,77
08/12/2026 05:17:20 PM,KILLINGTON,RUTLAND-11,RUTLAND_,39,112,2,209
08/12/2026 05:17:20 PM,KIRBY,CALEDONIA ESSEX,ESSEX_,8,17,1,32
08/12/2026 05:17:20 PM,LEICESTER,ADDISON-2,ADDISON_,13,49,1,70
08/12/2026 05:17:20 PM,LEMINGTON,ESSEX ORLEANS,ESSEX_,2,1,0,3
08/12/2026 05:17:20 PM,LINCOLN,ADDISON-4,ADDISON_,12,44,0,63
08/12/2026 05:17:20 PM,LONDONDERRY,WINDHAM WINDSOR BENNINGTON,BENNINGTON_,16,47,2,78
08/12/2026 05:17:20 PM,LOWELL,ORLEANS LAMOILLE,ORLEANS_,12,33,0,50
08/12/2026 05:17:20 PM,LUDLOW,RUTLAND WINDSOR,WINDSOR_,16,79,0,103
08/12/2026 05:17:20 PM,LUNENBURG,ESSEX CALEDONIA,ESSEX_,25,47,3,94
08/12/2026 05:17:20 PM,LYNDON,CALEDONIA 3,ESSEX_,78,254,23,425
08/12/2026 05:17:20 PM,MAIDSTONE,ESSEX CALEDONIA,ESSEX_,5,10,0,21
08/12/2026 05:17:20 PM,MANCHESTER,BENNINGTON-4,BENNINGTON_,38,89,0,142
08/12/2026 05:17:20 PM,MARLBORO,WINDHAM-5,WINDHAM_,4,5,0,12
08/12/2026 05:17:20 PM,MARSHFIELD,WASHINGTON-6,WASHINGTON_,17,43,1,68
08/12/2026 05:17:20 PM,MENDON,RUTLAND-11,RUTLAND_,14,33,0,50
08/12/2026 05:17:20 PM,MIDDLEBURY,"ADDISON-1, ADDISON-5",ADDISON_,29,186,3,252
08/12/2026 05:17:20 PM,MIDDLETOWN SPRINGS,RUTLAND BENNINGTON,RUTLAND_,10,21,0,39
08/12/2026 05:17:20 PM,MILTON,"CHITTENDEN FRANKLIN, CHITTENDEN-25, GRAND ISLE CHITTENDEN",CHITTENDEN-NORTH_,54,419,4,524
08/12/2026 05:17:20 PM,MONKTON,ADDISON-4,ADDISON_,19,71,0,106
08/12/2026 05:17:20 PM,MONTGOMERY,FRANKLIN-7,ORLEANS_,21,45,3,85
08/12/2026 05:17:20 PM,MONTPELIER,WASHINGTON-4,WASHINGTON_,18,50,1,87
08/12/2026 05:17:20 PM,MORETOWN,WASHINGTON-2,WASHINGTON_,13,35,0,60
08/12/2026 05:17:20 PM,MORGAN,ESSEX ORLEANS,ESSEX_,13,39,0,52
08/12/2026 05:17:20 PM,MORRISTOWN,LAMOILLE WASHINGTON,LAMOILLE_,28,96,4,145
08/12/2026 05:17:20 PM,MOUNT HOLLY,RUTLAND WINDSOR,RUTLAND_,16,68,0,87
08/12/2026 05:17:20 PM,MOUNT TABOR,BENNINGTON RUTLAND,RUTLAND_,2,7,0,10
08/12/2026 05:17:20 PM,NEW HAVEN,"ADDISON-3, ADDISON-5",ADDISON_,21,107,3,149
08/12/2026 05:17:20 PM,NEWARK,CALEDONIA 3,ORLEANS_,15,31,1,55
08/12/2026 05:17:20 PM,NEWBURY,ORANGE CALEDONIA,CALEDONIA_,11,55,0,72
08/12/2026 05:17:20 PM,NEWFANE,WINDHAM-5,WINDHAM_,42,24,1,71
08/12/2026 05:17:20 PM,NEWPORT CITY,ORLEANS-2,ESSEX_,29,80,0,124
08/12/2026 05:17:20 PM,NEWPORT TOWN,ORLEANS LAMOILLE,ORLEANS_,12,43,5,69
08/12/2026 05:17:20 PM,NORTH HERO,GRAND ISLE CHITTENDEN,GRAND ISLE_,6,46,0,57
08/12/2026 05:17:20 PM,NORTHFIELD,WASHINGTON-1,WASHINGTON_,42,111,4,187
08/12/2026 05:17:20 PM,NORTON,ESSEX ORLEANS,ESSEX_,5,12,0,19
08/12/2026 05:17:20 PM,NORWICH,WINDSOR ORANGE 2,WINDSOR_,11,26,1,44
08/12/2026 05:17:20 PM,ORANGE,ORANGE-1,WASHINGTON_,18,57,3,82
08/12/2026 05:17:20 PM,ORWELL,ADDISON RUTLAND,ADDISON_,26,89,4,134
08/12/2026 05:17:20 PM,PANTON,ADDISON-3,ADDISON_,10,18,0,33
08/12/2026 05:17:20 PM,PAWLET,RUTLAND BENNINGTON,RUTLAND_,19,53,1,82
08/12/2026 05:17:20 PM,PEACHAM,CALEDONIA WASHINGTON,CALEDONIA_,6,24,2,39
08/12/2026 05:17:20 PM,PERU,BENNINGTON RUTLAND,BENNINGTON_,1,10,1,14
08/12/2026 05:17:20 PM,PITTSFIELD,RUTLAND-11,WINDSOR_,2,24,0,26
08/12/2026 05:17:20 PM,PITTSFORD,RUTLAND-8,RUTLAND_,25,80,2,112
08/12/2026 05:17:20 PM,PLAINFIELD,WASHINGTON-6,WASHINGTON_,10,27,0,40
08/12/2026 05:17:20 PM,PLYMOUTH,WINDSOR-5,WINDSOR_,8,22,0,31
08/12/2026 05:17:20 PM,POMFRET,WINDSOR-4,WINDSOR_,5,18,1,27
08/12/2026 05:17:20 PM,POULTNEY,RUTLAND-1,RUTLAND_,25,111,1,155
08/12/2026 05:17:20 PM,POWNAL,"BENNINGTON-1, BENNINGTON-5",BENNINGTON_,44,96,2,159
08/12/2026 05:17:20 PM,PROCTOR,RUTLAND-8,RUTLAND_,10,33,3,56
08/12/2026 05:17:20 PM,PUTNEY,WINDHAM-4,WINDHAM_,12,15,0,30
08/12/2026 05:17:20 PM,RANDOLPH,ORANGE WASHINGTON ADDISON,ORANGE_,32,99,3,153
08/12/2026 05:17:20 PM,READING,WINDSOR-5,WINDSOR_,3,30,0,34
08/12/2026 05:17:20 PM,READSBORO,BENNINGTON-1,BENNINGTON_,17,19,0,38
08/12/2026 05:17:20 PM,RICHFORD,FRANKLIN-5,FRANKLIN_,21,76,3,115
08/12/2026 05:17:20 PM,RICHMOND,CHITTENDEN 1,CHITTENDEN-SOUTHEAST_,20,38,1,68
08/12/2026 05:17:20 PM,RIPTON,ADDISON-2,ADDISON_,4,14,0,21
08/12/2026 05:17:20 PM,ROCHESTER,WINDSOR ADDISON,ADDISON_,4,28,3,41
08/12/2026 05:17:20 PM,ROCKINGHAM,WINDHAM-3,WINDHAM_,33,46,0,84
08/12/2026 05:17:20 PM,ROXBURY,ORANGE WASHINGTON ADDISON,WASHINGTON_,11,21,0,43
08/12/2026 05:17:20 PM,ROYALTON,WINDSOR ORANGE 1,WINDSOR_,29,62,2,111
08/12/2026 05:17:20 PM,RUPERT,RUTLAND BENNINGTON,BENNINGTON_,7,25,0,40
08/12/2026 05:17:20 PM,RUTLAND CITY,"RUTLAND-4, RUTLAND-5, RUTLAND-6, RUTLAND-7",RUTLAND_,81,332,8,450
08/12/2026 05:17:20 PM,RUTLAND TOWN,"RUTLAND-2, RUTLAND-4",RUTLAND_,28,144,1,187
08/12/2026 05:17:20 PM,RYEGATE,CALEDONIA 1,CALEDONIA_,10,44,2,57
08/12/2026 05:17:20 PM,SAINT ALBANS CITY,"FRANKLIN-3, FRANKLIN-8",FRANKLIN_,41,121,10,184
08/12/2026 05:17:20 PM,SAINT ALBANS TOWN,"FRANKLIN-2, FRANKLIN-8",FRANKLIN_,40,196,11,267
08/12/2026 05:17:20 PM,SAINT GEORGE,CHITTENDEN-7,CHITTENDEN-SOUTHEAST_,2,21,0,24
08/12/2026 05:17:20 PM,SAINT JOHNSBURY,CALEDONIA ESSEX,CALEDONIA_,90,258,13,425
08/12/2026 05:17:20 PM,SALISBURY,ADDISON-2,ADDISON_,8,31,0,44
08/12/2026 05:17:20 PM,SANDGATE,BENNINGTON-4,BENNINGTON_,2,22,0,25
08/12/2026 05:17:20 PM,SEARSBURG,BENNINGTON-1,BENNINGTON_,7,3,0,10
08/12/2026 05:17:20 PM,SHAFTSBURY,BENNINGTON-3,BENNINGTON_,51,146,1,219
08/12/2026 05:17:20 PM,SHARON,WINDSOR ORANGE 2,WINDSOR_,2,44,2,51
08/12/2026 05:17:20 PM,SHEFFIELD,CALEDONIA 3,ORLEANS_,10,41,4,63
08/12/2026 05:17:20 PM,SHELBURNE,"CHITTENDEN-6, CHITTENDEN-7",CHITTENDEN-SOUTHEAST_,23,149,4,198
08/12/2026 05:17:20 PM,SHELDON,FRANKLIN-4,FRANKLIN_,14,72,4,90
08/12/2026 05:17:20 PM,SHOREHAM,ADDISON RUTLAND,ADDISON_,18,59,0,84
08/12/2026 05:17:20 PM,SHREWSBURY,RUTLAND WINDSOR,RUTLAND_,12,34,0,48
08/12/2026 05:17:20 PM,SOUTH BURLINGTON,"CHITTENDEN-10, CHITTENDEN-11, CHITTENDEN-12, CHITTENDEN-8, CHITTENDEN-9",CHITTENDEN-SOUTHEAST_,65,308,7,449
08/12/2026 05:17:20 PM,SOUTH HERO,GRAND ISLE CHITTENDEN,GRAND ISLE_,10,82,3,109
08/12/2026 05:17:20 PM,SPRINGFIELD,WINDSOR-3,WINDSOR_,77,321,3,420
08/12/2026 05:17:20 PM,STAMFORD,BENNINGTON-1,BENNINGTON_,12,11,0,31
08/12/2026 05:17:20 PM,STANNARD,CALEDONIA 2,CALEDONIA_,4,8,0,12
08/12/2026 05:17:20 PM,STARKSBORO,ADDISON-4,ADDISON_,16,63,0,89
08/12/2026 05:17:20 PM,STOCKBRIDGE,WINDSOR ADDISON,WINDSOR_,3,23,0,28
08/12/2026 05:17:20 PM,STOWE,"LAMOILLE WASHINGTON, LAMOILLE-1",WASHINGTON_,6,54,0,78
08/12/2026 05:17:20 PM,STRAFFORD,WINDSOR ORANGE 2,ORANGE_,7,9,0,17
08/12/2026 05:17:20 PM,STRATTON,WINDHAM-2,BENNINGTON_,3,6,0,9
08/12/2026 05:17:20 PM,SUDBURY,ADDISON RUTLAND,RUTLAND_,3,17,0,23
08/12/2026 05:17:20 PM,SUNDERLAND,"BENNINGTON-3, BENNINGTON-4",BENNINGTON_,8,31,0,43
08/12/2026 05:17:20 PM,SUTTON,CALEDONIA 3,ORLEANS_,14,57,1,78
08/12/2026 05:17:20 PM,SWANTON,FRANKLIN-4,FRANKLIN_,39,193,4,256
08/12/2026 05:17:20 PM,THETFORD,WINDSOR ORANGE 2,WINDSOR_,12,40,0,54
08/12/2026 05:17:20 PM,TINMOUTH,RUTLAND BENNINGTON,RUTLAND_,6,25,0,37
08/12/2026 05:17:20 PM,TOPSHAM,ORANGE CALEDONIA,ORANGE_,34,65,1,114
08/12/2026 05:17:20 PM,TOWNSHEND,WINDHAM-5,WINDHAM_,17,18,0,40
08/12/2026 05:17:20 PM,TROY,ORLEANS LAMOILLE,ORLEANS_,14,32,3,55
08/12/2026 05:17:20 PM,TUNBRIDGE,WINDSOR ORANGE 1,ORANGE_,26,73,1,127
08/12/2026 05:17:20 PM,UNDERHILL,CHITTENDEN 3,CHITTENDEN-SOUTHEAST_,13,85,1,110
08/12/2026 05:17:20 PM,VERGENNES,ADDISON-3,ADDISON_,23,89,0,124
08/12/2026 05:17:20 PM,VERNON,WINDHAM-1,WINDHAM_,26,44,0,75
08/12/2026 05:17:20 PM,VERSHIRE,ORANGE-1,ORANGE_,8,26,3,41
08/12/2026 05:17:20 PM,VICTORY,ESSEX CALEDONIA,ESSEX_,2,18,0,25
08/12/2026 05:17:20 PM,WAITSFIELD,WASHINGTON-2,WASHINGTON_,13,29,0,49
08/12/2026 05:17:20 PM,WALDEN,CALEDONIA 2,CALEDONIA_,7,28,1,42
08/12/2026 05:17:20 PM,WALLINGFORD,RUTLAND-2,RUTLAND_,20,50,0,77
08/12/2026 05:17:20 PM,WALTHAM,ADDISON-3,ADDISON_,6,23,1,33
08/12/2026 05:17:20 PM,WARDSBORO,WINDHAM-2,WINDHAM_,12,11,0,25
08/12/2026 05:17:20 PM,WARREN,WASHINGTON-2,WASHINGTON_,9,21,2,35
08/12/2026 05:17:20 PM,WASHINGTON,ORANGE-1,ORANGE_,11,57,0,82
08/12/2026 05:17:20 PM,WATERBURY,WASHINGTON CHITTENDEN,WASHINGTON_,22,57,2,97
08/12/2026 05:17:20 PM,WATERFORD,CALEDONIA 1,CALEDONIA_,27,71,0,118
08/12/2026 05:17:20 PM,WATERVILLE,LAMOILLE-3,LAMOILLE_,6,32,1,41
08/12/2026 05:17:20 PM,WEATHERSFIELD,WINDSOR-2,WINDSOR_,42,146,2,200
08/12/2026 05:17:20 PM,WELLS,"RUTLAND BENNINGTON, RUTLAND-1",RUTLAND_,12,46,0,64
08/12/2026 05:17:20 PM,WEST FAIRLEE,ORANGE-2,ORANGE_,2,17,0,20
08/12/2026 05:17:20 PM,WEST HAVEN,RUTLAND-10,RUTLAND_,4,8,1,14
08/12/2026 05:17:20 PM,WEST RUTLAND,RUTLAND-2,RUTLAND_,18,67,1,94
08/12/2026 05:17:20 PM,WEST WINDSOR,WINDSOR-1,WINDSOR_,4,39,1,49
08/12/2026 05:17:20 PM,WESTFIELD,ORLEANS LAMOILLE,ORLEANS_,14,19,0,34
08/12/2026 05:17:20 PM,WESTFORD,CHITTENDEN-25,CHITTENDEN-NORTH_,11,49,1,65
08/12/2026 05:17:20 PM,WESTMINSTER,WINDHAM-3,WINDHAM_,30,28,0,63
08/12/2026 05:17:20 PM,WESTMORE,ORLEANS-3,ORLEANS_,7,9,1,18
08/12/2026 05:17:20 PM,WESTON,WINDHAM WINDSOR BENNINGTON,WINDSOR_,4,20,0,26
08/12/2026 05:17:20 PM,WEYBRIDGE,ADDISON-5,ADDISON_,5,26,0,32
08/12/2026 05:17:20 PM,WHEELOCK,CALEDONIA 3,CALEDONIA_,9,34,1,54
08/12/2026 05:17:20 PM,WHITING,ADDISON RUTLAND,ADDISON_,3,19,0,25
08/12/2026 05:17:20 PM,WHITINGHAM,WINDHAM-6,WINDHAM_,10,45,0,56
08/12/2026 05:17:20 PM,WILLIAMSTOWN,"ORANGE-3, WASHINGTON ORANGE",ORANGE_,24,104,2,144
08/12/2026 05:17:20 PM,WILLISTON,"CHITTENDEN 2, CHITTENDEN-8",CHITTENDEN-SOUTHEAST_,58,222,2,318
08/12/2026 05:17:20 PM,WILMINGTON,WINDHAM-6,BENNINGTON_,13,23,1,38
08/12/2026 05:17:20 PM,WINDHAM,WINDSOR WINDHAM,WINDHAM_,4,7,0,11
08/12/2026 05:17:20 PM,WINDSOR,WINDSOR-1,WINDSOR_,15,76,0,94
08/12/2026 05:17:20 PM,WINHALL,WINDHAM WINDSOR BENNINGTON,BENNINGTON_,16,47,3,85
08/12/2026 05:17:20 PM,WINOOSKI,CHITTENDEN-21,CHITTENDEN-CENTRAL_,11,47,0,62
08/12/2026 05:17:20 PM,WOLCOTT,LAMOILLE-2,LAMOILLE_,13,30,1,47
08/12/2026 05:17:20 PM,WOODBURY,LAMOILLE WASHINGTON,WASHINGTON_,8,32,1,49
08/12/2026 05:17:20 PM,WOODFORD,BENNINGTON-1,BENNINGTON_,4,21,0,25
08/12/2026 05:17:20 PM,WOODSTOCK,WINDSOR-5,WINDSOR_,21,85,0,139
08/12/2026 05:17:20 PM,WORCESTER,LAMOILLE WASHINGTON,WASHINGTON_,22,33,0,60
08/12/2026 04:51 PM,LANDGROVE,BENNINGTON RUTLAND,BENNINGTON_,0,0,0,0
