Last Updated,Town,Rep District,Sen District,BECCA BALINT,Total Write Ins,Total
08/18/2026 02:15:47 PM,PITTSFORD,RUTLAND-8,RUTLAND_,180,6,194
08/18/2026 02:15:47 PM,PLAINFIELD,WASHINGTON-6,WASHINGTON_,268,1,290
08/18/2026 02:15:47 PM,PLYMOUTH,WINDSOR-5,WINDSOR_,62,4,71
08/18/2026 02:15:47 PM,POMFRET,WINDSOR-4,WINDSOR_,233,0,249
08/18/2026 02:15:47 PM,POULTNEY,RUTLAND-1,RUTLAND_,179,1,190
08/18/2026 02:15:47 PM,POWNAL,"BENNINGTON-1, BENNINGTON-5",BENNINGTON_,276,2,297
08/18/2026 02:15:47 PM,PROCTOR,RUTLAND-8,RUTLAND_,70,3,80
08/18/2026 02:15:47 PM,PUTNEY,WINDHAM-4,WINDHAM_,467,0,494
08/18/2026 02:15:47 PM,RANDOLPH,ORANGE WASHINGTON ADDISON,ORANGE_,662,11,761
08/18/2026 02:15:47 PM,READING,WINDSOR-5,WINDSOR_,120,3,131
08/18/2026 02:15:47 PM,RICHFORD,FRANKLIN-5,FRANKLIN_,73,0,77
08/18/2026 02:15:47 PM,RICHMOND,CHITTENDEN 1,CHITTENDEN-SOUTHEAST_,870,6,981
08/18/2026 02:15:47 PM,RIPTON,ADDISON-2,ADDISON_,139,0,143
08/18/2026 02:15:47 PM,ROCHESTER,WINDSOR ADDISON,ADDISON_,167,0,175
08/18/2026 02:15:47 PM,ROCKINGHAM,WINDHAM-3,WINDHAM_,541,5,566
08/18/2026 02:15:47 PM,ROXBURY,ORANGE WASHINGTON ADDISON,WASHINGTON_,109,2,122
08/18/2026 02:15:47 PM,ROYALTON,WINDSOR ORANGE 1,WINDSOR_,269,4,299
08/18/2026 02:15:47 PM,RUPERT,RUTLAND BENNINGTON,BENNINGTON_,76,0,77
08/18/2026 02:15:47 PM,RUTLAND CITY,"RUTLAND-4, RUTLAND-5, RUTLAND-6, RUTLAND-7",RUTLAND_,862,14,937
08/18/2026 02:15:47 PM,RUTLAND TOWN,"RUTLAND-2, RUTLAND-4",RUTLAND_,296,6,318
08/18/2026 02:15:47 PM,RYEGATE,CALEDONIA 1,CALEDONIA_,102,2,112
08/18/2026 02:15:47 PM,SAINT ALBANS CITY,"FRANKLIN-3, FRANKLIN-8",FRANKLIN_,508,13,552
08/18/2026 02:15:47 PM,SAINT ALBANS TOWN,"FRANKLIN-2, FRANKLIN-8",FRANKLIN_,403,16,444
08/18/2026 02:15:47 PM,SAINT GEORGE,CHITTENDEN-7,CHITTENDEN-SOUTHEAST_,104,3,114
08/18/2026 02:15:47 PM,SAINT JOHNSBURY,CALEDONIA ESSEX,CALEDONIA_,587,5,627
08/18/2026 02:15:47 PM,SALISBURY,ADDISON-2,ADDISON_,122,1,132
08/18/2026 02:15:47 PM,SANDGATE,BENNINGTON-4,BENNINGTON_,50,0,52
08/18/2026 02:15:47 PM,SHAFTSBURY,BENNINGTON-3,BENNINGTON_,474,0,531
08/18/2026 02:15:47 PM,SHARON,WINDSOR ORANGE 2,WINDSOR_,233,0,253
08/18/2026 02:15:47 PM,SHEFFIELD,CALEDONIA 3,ORLEANS_,46,0,50
08/18/2026 02:15:47 PM,SHELBURNE,"CHITTENDEN-6, CHITTENDEN-7",CHITTENDEN-SOUTHEAST_,1921,19,2217
08/18/2026 02:15:47 PM,SHELDON,FRANKLIN-4,FRANKLIN_,59,0,68
08/18/2026 02:15:47 PM,SHOREHAM,ADDISON RUTLAND,ADDISON_,142,2,159
08/18/2026 02:15:47 PM,SHREWSBURY,RUTLAND WINDSOR,RUTLAND_,114,1,119
08/18/2026 02:15:47 PM,SOUTH BURLINGTON,"CHITTENDEN-10, CHITTENDEN-11, CHITTENDEN-12, CHITTENDEN-8, CHITTENDEN-9",CHITTENDEN-SOUTHEAST_,3633,70,4212
08/18/2026 02:15:47 PM,SOUTH HERO,GRAND ISLE CHITTENDEN,GRAND ISLE_,357,7,403
08/18/2026 02:15:47 PM,SPRINGFIELD,WINDSOR-3,WINDSOR_,880,5,959
08/18/2026 02:15:47 PM,STAMFORD,BENNINGTON-1,BENNINGTON_,45,0,47
08/18/2026 02:15:47 PM,STARKSBORO,ADDISON-4,ADDISON_,253,1,267
08/18/2026 02:15:47 PM,STOCKBRIDGE,WINDSOR ADDISON,WINDSOR_,87,3,95
08/18/2026 02:15:47 PM,STOWE,"LAMOILLE WASHINGTON, LAMOILLE-1",WASHINGTON_,476,1,528
08/18/2026 02:15:47 PM,STRAFFORD,WINDSOR ORANGE 2,ORANGE_,332,0,354
08/18/2026 02:15:47 PM,STRATTON,WINDHAM-2,BENNINGTON_,12,0,15
08/18/2026 02:15:47 PM,SUDBURY,ADDISON RUTLAND,RUTLAND_,68,2,74
08/18/2026 02:15:47 PM,SUNDERLAND,"BENNINGTON-3, BENNINGTON-4",BENNINGTON_,106,0,115
08/18/2026 02:15:47 PM,SUTTON,CALEDONIA 3,ORLEANS_,52,0,54
08/18/2026 02:15:47 PM,SWANTON,FRANKLIN-4,FRANKLIN_,265,8,293
08/18/2026 02:15:47 PM,THETFORD,WINDSOR ORANGE 2,WINDSOR_,575,8,628
08/18/2026 02:15:47 PM,TINMOUTH,RUTLAND BENNINGTON,RUTLAND_,59,0,60
08/18/2026 02:15:47 PM,TOPSHAM,ORANGE CALEDONIA,ORANGE_,99,1,113
08/18/2026 02:15:47 PM,TOWNSHEND,WINDHAM-5,WINDHAM_,150,1,166
08/18/2026 02:15:47 PM,TROY,ORLEANS LAMOILLE,ORLEANS_,62,3,69
08/18/2026 02:15:47 PM,TUNBRIDGE,WINDSOR ORANGE 1,ORANGE_,186,2,198
08/18/2026 02:15:47 PM,UNDERHILL,CHITTENDEN 3,CHITTENDEN-SOUTHEAST_,547,10,637
08/18/2026 02:15:47 PM,VERGENNES,ADDISON-3,ADDISON_,448,1,481
08/18/2026 02:15:47 PM,VERNON,WINDHAM-1,WINDHAM_,152,4,169
08/18/2026 02:15:47 PM,VERSHIRE,ORANGE-1,ORANGE_,89,1,95
08/18/2026 02:15:47 PM,WAITSFIELD,WASHINGTON-2,WASHINGTON_,344,2,369
08/18/2026 02:15:47 PM,WALDEN,CALEDONIA 2,CALEDONIA_,112,3,124
08/18/2026 02:15:47 PM,WALLINGFORD,RUTLAND-2,RUTLAND_,157,0,167
08/18/2026 02:15:47 PM,WALTHAM,ADDISON-3,ADDISON_,90,0,97
08/18/2026 02:15:47 PM,WARDSBORO,WINDHAM-2,WINDHAM_,71,0,76
08/18/2026 02:15:47 PM,WARREN,WASHINGTON-2,WASHINGTON_,310,2,332
08/18/2026 02:15:47 PM,WASHINGTON,ORANGE-1,ORANGE_,112,0,122
08/18/2026 02:15:47 PM,WATERBURY,WASHINGTON CHITTENDEN,WASHINGTON_,807,8,861
08/18/2026 02:15:47 PM,WATERFORD,CALEDONIA 1,CALEDONIA_,127,0,134
08/18/2026 02:15:47 PM,WATERVILLE,LAMOILLE-3,LAMOILLE_,50,0,52
08/18/2026 02:15:47 PM,WEATHERSFIELD,WINDSOR-2,WINDSOR_,337,4,363
08/18/2026 02:15:47 PM,WELLS,"RUTLAND BENNINGTON, RUTLAND-1",RUTLAND_,76,0,80
08/18/2026 02:15:47 PM,WEST FAIRLEE,ORANGE-2,ORANGE_,60,0,62
08/18/2026 02:15:47 PM,WEST HAVEN,RUTLAND-10,RUTLAND_,19,0,26
08/18/2026 02:15:47 PM,WEST RUTLAND,RUTLAND-2,RUTLAND_,101,2,108
08/18/2026 02:15:47 PM,WEST WINDSOR,WINDSOR-1,WINDSOR_,248,6,280
08/18/2026 02:15:47 PM,WESTFIELD,ORLEANS LAMOILLE,ORLEANS_,51,0,53
